GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
secure-messenger,com.se1.messenger.services.key,KeyDirectoryService,5,0,0,0,3,0,3,0,3,0
secure-messenger,com.se1.messenger.services.auth,AuthService,6,0,0,0,4,0,4,0,4,0
secure-messenger,com.se1.messenger.services.notification,NotificationService,5,0,0,0,3,0,3,0,3,0
secure-messenger,com.se1.messenger.services.media,MediaService,5,0,0,0,3,0,3,0,3,0
secure-messenger,com.se1.messenger.services.user,UserService,5,0,0,0,3,0,3,0,3,0
secure-messenger,com.se1.messenger.gateway,ApiGateway,4,0,0,0,2,0,2,0,2,0
secure-messenger,com.se1.messenger.domain,Device,3,0,0,0,1,0,1,0,1,0
secure-messenger,com.se1.messenger.domain,Chat,3,0,0,0,1,0,1,0,1,0
secure-messenger,com.se1.messenger.domain,User,3,0,0,0,1,0,1,0,1,0
secure-messenger,com.se1.messenger.domain,PublicKey,3,0,0,0,1,0,1,0,1,0
secure-messenger,com.se1.messenger.domain,Message,3,0,0,0,1,0,1,0,1,0
secure-messenger,com.se1.messenger.services.group,GroupService,6,0,0,0,4,0,4,0,4,0
secure-messenger,com.se1.messenger.services.message,MessageService,12,0,0,0,6,0,5,0,5,0
secure-messenger,com.se1.messenger.patterns,MessageFactory,5,26,0,4,1,6,1,4,1,2
secure-messenger,com.se1.messenger.patterns,MediaMessage,0,9,0,0,0,4,0,2,0,2
secure-messenger,com.se1.messenger.patterns,EncryptedMessageDecorator,0,14,0,0,0,5,0,3,0,3
secure-messenger,com.se1.messenger.patterns,TextMessage,0,9,0,0,0,4,0,2,0,2
